agcnum,radeg,decdeg,vhel,sepmin
223390,184.5321, 5.9297, 1886,426.1486
  7339,184.5458, 9.4994, 1733,229.1697
221999,184.5600, 6.6036, 2577,387.0948
220321,184.5637,13.7489,  243,135.6793
225058,184.5750, 7.1281, 2688,357.0546
220324,184.6167, 5.6153, 1838,442.8654
224262,184.6179, 6.0758, 2246,416.2815
223396,184.6187, 6.4058, 2074,397.3222
  7343,184.6287, 5.5594,  863,445.9036
223399,184.6308, 5.8522, 2289,428.9503
222890,184.6329,13.1911,  953,120.3307
220328,184.6608, 6.7081, 1999,379.2753
223403,184.6650,13.5972,  211,126.4304
  7346,184.6738,17.7172,  831,320.4091
223404,184.6758, 5.6672, 1517,438.9252
223406,184.6788, 5.7886, 2846,431.8537
223407,184.6825,12.3856,  155,116.0692
225100,184.6879, 6.2631, 2490,404.3256
  7345,184.7063,14.4164, 2470,151.5387
220335,184.7121, 7.8619, 1596,312.9408
220336,184.7137,12.5972, 1508,112.6667
222116,184.7521, 6.0944, 1575,413.0011
220303,184.7583,13.9822, -206,133.0316
  7352,184.7633, 8.8553, 2466,256.9137
  7355,184.7712,13.9811, -206,132.3745
224175,184.7750, 5.7389, 1227,433.2492
220345,184.7771, 5.7258, 2756,433.9762
225059,184.7821, 7.6342, 2694,324.3127
220351,184.7971,12.8842, 2179,107.9090
220350,184.8017, 6.3817, 2814,395.6083
222893,184.8021,12.8519,  797,107.4676
220352,184.8071, 5.9858, 1612,418.4320
220353,184.8092,13.8822, -250,127.2423
220355,184.8137, 6.3072, 2268,399.7159
220354,184.8146, 6.2936,  657,400.4896
224264,184.8213, 5.5783, 2505,441.9061
223416,184.8229, 5.8775, 2990,424.4810
222211,184.8342, 5.4667, 2290,448.2296
223417,184.8362, 6.7050, 2187,376.3923
220358,184.8400, 7.8703, 2411,309.8144
220360,184.8417, 5.9106, 1505,422.2810
  7361,184.8429, 6.0986, 1801,411.3436
  7360,184.8462, 5.8256, 2200,427.1551
220361,184.8462, 5.7947, 2120,428.9487
222894,184.8471,19.5872,  946,424.5143
222490,184.8492, 6.2331, 1880,403.4528
220366,184.8583,13.3100,  305,109.6144
222491,184.8687, 6.2731, 1525,400.8323
  7366,184.8692,17.2303,  978,289.1252
  7365,184.8775,14.8772, 1376,164.8636
  7364,184.8987, 5.8469, 2532,425.1501
223422,184.9033,15.1614, 1215,177.6502
225060,184.9137, 7.1197, 2623,351.2211
  7368,184.9254, 5.5383, 1536,442.7867
220373,184.9383, 6.0053, 2045,415.3609
  7373,184.9388,12.7981, 1001, 99.3047
220380,184.9388, 5.4558, 2362,447.4319
  7372,184.9550, 6.0150, 2074,414.5570
  7376,184.9558, 5.4636, 2357,446.7509
222118,184.9654, 5.9958, 1462,415.5273
220383,184.9725, 6.6656,  482,376.4837
224267,184.9737, 6.0322, 2022,413.2884
220390,185.0133,14.9614, 1330,164.1660
223431,185.0154, 6.0142, 2124,413.7638
223262,185.0167, 5.4144, 2479,448.8468
  7385,185.0313, 7.6914, 2618,316.3741
223433,185.0362, 9.4675, 1788,216.7971
220392,185.0508, 6.6233, 2473,377.7574
224176,185.0754, 5.9992, 2097,413.8344
220395,185.0783, 9.5453, 2024,211.5126
224270,185.0842, 9.7972, 1208,197.8182
  7389,185.0892, 5.3867, 2732,449.5829
220398,185.0908,12.1878,  272, 95.9444
223440,185.0954, 6.1392, 2356,405.3790
222215,185.0971,13.8975,  272,114.0990
220396,185.1012, 5.5728,  929,438.5028
220399,185.1054, 6.9089, 2560,360.3520
223445,185.1279,13.5192, 2009,100.1344
225102,185.1287, 6.6400, 1496,375.6707
224271,185.1458, 5.8075, 2193,424.1731
223447,185.1512,12.8847, 1182, 87.2942
224272,185.1608, 5.9089,  908,418.0359
220409,185.1675,13.8889,  790,110.5684
223449,185.1825,14.6308,  630,142.3490
220412,185.2021, 5.6400, 2134,433.3493
 12938,185.2033,17.4872, 1474,297.6164
223453,185.2033, 6.7236, 2311,369.7632
224273,185.2037, 5.9817, 1800,413.2371
223455,185.2133, 7.0589, 2335,350.0586
220414,185.2133,12.5975, 1506, 83.5081
220418,185.2400, 6.3397,  825,391.7687
220419,185.2504,12.7258,  672, 80.9762
222300,185.2650, 7.0778, 2333,348.2361
223460,185.2700,11.7547, 1432, 98.8525
220422,185.2750,11.5956,  989,104.5445
220427,185.2967,17.6383, 2103,304.9102
  7405,185.3013,18.3819,  867,348.1578
223464,185.3025, 8.9636, 1562,238.8155
220431,185.3100,12.3892, -461, 80.0852
223465,185.3125,13.3467, 1397, 85.8327
  7407,185.3246,11.5100,  359,105.8164
223469,185.3300,16.6092, 1363,245.1423
734737,185.3438, 5.9475, 1783,413.6358
220435,185.3633,15.0214, 1866,156.5081
220436,185.3708, 8.1508, 2536,284.2697
224736,185.3779,12.6542,  338, 73.6401
  7412,185.3863,14.6056, 1133,134.3495
220437,185.4042, 5.7658, 2472,423.7277
225018,185.4100, 8.7772, 1393,247.4923
  7415,185.4117,15.7447, 1312,194.7385
223480,185.4133, 7.2533, 2755,336.0066
  7414,185.4196,11.5006,  228,102.2497
  7413,185.4229, 5.3847, 2310,446.0975
223308,185.4233,15.0756, 1228,157.7830
  7418,185.4263,14.5978, 1163,132.7063
223484,185.4358, 9.2367, 1503,220.7604
734739,185.4463, 5.9889,  758,410.1121
224205,185.4500,12.8269, -105, 69.5614
223488,185.4583, 9.7386,  497,191.9623
223487,185.4596, 8.5417, 1110,260.2588
  7425,185.4738,15.6458,  804,187.9061
  7423,185.4813, 6.4511, 1256,382.4365
  7421,185.4825,11.9672,  160, 81.3107
742275,185.4829,17.6808, 1496,304.8392
  7424,185.4892, 8.6744,  852,252.1119
  7432,185.5150,12.7403, 1934, 65.4971
  7433,185.5171,12.7869, 1517, 65.4740
226313,185.5196, 7.7394, 1362,306.1631
  7431,185.5229, 9.0431, 1053,230.2940
223495,185.5271, 6.7825, 2528,362.3846
220450,185.5317,15.7989, 1300,195.3657
223496,185.5358, 9.8944, 1562,181.5935
  7435,185.5513, 7.1439, 1053,340.8029
220451,185.5613, 7.1672,  500,339.3167
222915,185.5617,14.1419, 1222,105.6610
  7436,185.5808,14.7606,  982,136.7956
221542,185.5813,15.7339, 1159,190.7443
222303,185.5813, 6.9278, 1057,353.2344
222716,185.5900,10.6019, 2067,141.2761
222920,185.6017,15.4708,  921,175.4715
222778,185.6304, 7.1189,  914,341.4337
  7442,185.6304,15.5381,  146,178.7100
221722,185.6325,11.8025, 1393, 80.6116
220456,185.6492,12.1575,   44, 66.9385
220457,185.6575, 8.2961, 1407,271.7852
  7445,185.6604,11.8006, 1458, 79.5083
220460,185.6604, 6.0144,  877,406.6138
  7441,185.6625, 6.6764, 2363,367.3136
220461,185.6654, 6.2269, 2823,393.9511
220463,185.6712, 7.9503, 1047,291.9440
  7447,185.6758, 9.3322, 1262,211.1247
  7446,185.6804, 8.1981, 1215,277.2621
221880,185.6817, 5.4581, 2307,439.5279
220467,185.6871,15.4997,  -72,175.4766
220468,185.7012, 7.9133, 1290,293.7824
223311,185.7121,13.5931, 1118, 75.0086
222925,185.7121,15.2761, 1076,162.3153
  7448,185.7200, 6.6794, 1540,366.6163
  7450,185.7288,15.8219, 1560,193.2419
223512,185.7342, 7.7331, 1053,304.0714
226319,185.7488, 8.0308,  652,286.3339
220475,185.7567,15.9056, 1803,197.6461
223516,185.7633, 5.7858, 2061,419.4071
223312,185.7700, 8.3331, 1303,268.2799
220478,185.7808,13.7444, 2129, 78.9882
220479,185.7900,11.7258,  646, 77.6469
220483,185.8171, 7.6875, -398,305.9542
  7456,185.8183,11.3661, 1552, 94.4396
227958,185.8267, 5.6072, 1578,429.6129
220487,185.8333,15.8203,  517,191.5784
223526,185.8333, 7.0681, 1137,342.5784
221544,185.8383,15.8683,  105,194.3059
220493,185.8683, 5.8164,  906,416.8664
  7462,185.8742,19.4267, 1134,404.5952
  7461,185.8954, 6.0817, 1298,400.8684
  7467,185.8971,16.7217,  932,243.6995
  7468,185.9063,17.5406, 1247,292.1084
  7465,185.9112, 6.9542, 1012,348.7548
  7466,185.9129, 7.0533,  751,342.8373
  7470,185.9354,12.4778, -437, 43.4710
  7469,185.9521, 7.1861, 1424,334.6466
742299,185.9567,18.4556, 2104,346.1715
223538,185.9579, 6.0597, 1138,401.7924
222947,185.9692,13.8822,  707, 79.6529
  7472,185.9729, 7.1067,  915,339.2357
  7473,185.9904,16.6922, 1247,241.0630
221548,185.9904,12.8872,  552, 38.9230
226326,185.9925, 7.4506, 1223,318.6066
220502,186.0012, 7.7853, 1144,298.6080
  7476,186.0058,12.2044, 2320, 48.1915
742300,186.0079,16.8392, 1637,249.6254
222950,186.0171,17.5489,  460,291.7481
  7475,186.0208,11.2178, 2106, 97.2201
225022,186.0212, 8.2939, 1390,268.1927
222733,186.0212,10.0675, 1257,163.3547
  7474,186.0229, 7.0406, 1182,342.8530
  7477,186.0317, 6.6069,  697,368.6869
223551,186.0521,11.5294, 1640, 79.3329
223554,186.0571, 7.1747, 1496,334.6366
742307,186.0587,18.6889, 1570,359.4904
