"epseason","epnum","epname","Chandler","Joey","Monica","Phoebe","Rachel","Ross"
8,10,"The One with Monica's Boots",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,10,"The One with Monica's Boots",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,10,"The One with Monica's Boots",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
8,11,"The One with Ross's Step Forward",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,11,"The One with Ross's Step Forward",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,11,"The One with Ross's Step Forward",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,12,"The One Where Joey Dates Rachel",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,12,"The One Where Joey Dates Rachel",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,12,"The One Where Joey Dates Rachel",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
8,13,"The One Where Chandler Takes a Bath",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,13,"The One Where Chandler Takes a Bath",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
8,13,"The One Where Chandler Takes a Bath",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,14,"The One with the Secret Closet",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,14,"The One with the Secret Closet",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,14,"The One with the Secret Closet",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,15,"The One with the Birthing Video",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,15,"The One with the Birthing Video",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,15,"The One with the Birthing Video",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8,16,"The One Where Joey Tells Rachel",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,16,"The One Where Joey Tells Rachel",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8,16,"The One Where Joey Tells Rachel",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,17,"The One with the Tea Leaves",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,17,"The One with the Tea Leaves",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,17,"The One with the Tea Leaves",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,18,"The One in Massapequa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8,18,"The One in Massapequa",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
